rut_cliente,malo_en_los_12m,cantidad_tarjetas_credito,ingreso,meses_en_su_actual_trabajo
1739500,0,0,600000,24
1741500,0,0,345000,36
1742500,0,0,331500,0
1745500,0,0,511500,24
1746000,1,2,1155000,0
1747000,0,0,1147500,60
1751000,1,0,688500,0
1753500,0,0,300000,12
1754500,0,0,660000,0
1756000,0,0,1200000,12
1757500,1,0,600000,12
1758500,0,0,907500,0
1759000,0,0,480000,24
1760500,0,0,345000,24
1761000,0,0,489000,12
1763500,0,0,360000,12
1769000,1,0,636000,0
1771500,0,0,337500,48
1772000,0,0,375000,0
1773000,0,0,900000,24
1774000,0,0,649500,24
1775500,1,0,454500,12
1776000,1,0,325500,12
1779500,0,0,1048875,12
1780000,0,0,900000,12
1780500,1,0,390000,12
1781000,0,1,1114500,120
1781500,0,0,450000,60
1784500,0,0,879000,0
1785000,0,0,394500,12
1789000,1,0,294000,12
1789500,0,0,600000,12
1791500,0,0,757500,12
1792500,0,0,675000,60
1793500,0,0,397500,12
1795500,0,0,453000,84
1800000,0,0,757500,24
1800500,0,0,330000,156
1801000,1,0,360000,24
1802000,0,1,1500000,180
1802500,1,0,454500,36
1805500,0,0,900000,36
1809000,0,0,616500,24
1811500,0,0,720000,60
1812000,0,0,570000,0
1813000,0,0,750000,0
1816500,1,0,387000,12
1817000,0,1,682500,12
1819000,0,0,682500,48
1819500,1,0,450000,36
1820000,0,0,600000,0
1821500,0,0,1185000,24
1822000,0,0,1575000,48
1822500,0,0,375000,12
1825500,1,0,625500,0
1826500,0,0,357000,0
1827500,0,0,1050000,24
1828500,1,0,885000,48
1829000,0,0,417000,12
1831500,0,0,600000,0
1833500,0,0,438000,0
1835000,0,0,435000,12
1837000,1,0,2164500,48
1837500,0,0,420000,0
1839000,0,0,450000,0
1839500,0,0,900000,0
1842000,0,0,750000,12
1842500,0,1,2250000,180
1843500,0,0,303000,12
1844500,0,0,1836735.0000000002,84
1845500,0,0,750000,0
1851000,0,0,600000,12
1852000,1,0,490500,12
1853500,1,0,525000,36
1855500,0,0,1125000,0
1857500,0,0,339000,12
1858500,0,0,450000,12
1859000,0,0,364500,12
1860500,1,0,750000,0
1863500,1,0,366000,12
1866000,0,0,450000,24
1867000,0,1,1050000,12
1868000,1,0,435000,36
1868500,0,0,540000,12
1871500,0,0,617010,12
1872500,1,0,339000,12
1873000,0,0,1200000,24
1876000,0,0,997500,24
1876500,0,1,2004000,108
1877000,0,0,826500,120
1880000,0,0,1200000,96
1880500,0,0,900000,96
1881000,0,0,450000,12
1883000,1,0,1050000,0
1884000,0,0,900000,144
1884500,1,0,450000,12
1888000,0,0,525000,72
1891000,0,0,270000,12
1894500,0,0,2206500,0
1897500,0,0,457500,36
1898500,0,1,1500000,192
1903000,0,0,600000,12
1906000,0,0,411000,12
1906500,0,0,450000,24
1909000,0,0,330000,84
1910000,0,0,802500,36
1910500,0,0,726000,0
1914500,0,0,2520000,84
1921000,0,0,876000,12
1923000,0,0,357000,12
1923500,1,0,960000,60
1924500,0,0,300000,0
1926000,1,0,900000,0
1927000,0,0,1875000,12
1927500,0,0,501000,12
1928000,1,1,525000,36
1930500,0,0,1872000,108
1934500,0,0,270000,48
1935500,0,0,429000,12
1936500,0,0,750000,36
1937000,0,0,631500,0
1937500,1,0,750000,24
1938000,0,0,2602500,24
1940500,0,0,420000,24
1941000,0,0,600000,0
1941500,0,0,375000,36
1945500,0,0,288000,12
1946500,0,0,525000,12
1947500,1,0,525000,24
1948000,0,0,375000,12
1950000,1,0,547500,72
1951500,0,0,1800000,120
1952000,0,0,579000,0
1953500,0,0,675000,24
1954500,0,0,270000,60
1956000,0,1,1744500,60
1956500,0,0,688500,0
1958000,0,0,2250000,36
1959000,0,0,375000,120
1960500,0,0,600000,24
1961000,0,1,1356000,36
1964000,0,0,388500,12
1965500,1,0,525000,24
1966500,0,1,2550000,204
1967000,0,0,381000,12
1968000,0,0,375000,60
1969000,0,0,507000,12
1969500,1,0,450000,12
1970500,0,0,2550000,168
1973500,0,0,850500,12
1974500,1,0,570000,24
1976000,1,1,1495500,12
1976500,0,0,330000,12
1977500,0,0,675000,120
1978000,0,1,1023000,12
1979500,1,0,1200000,36
1980500,0,0,600000,12
1981000,0,0,388500,84
1983000,0,0,450000,12
1984500,0,0,525000,24
1987500,0,0,810000,12
1989500,0,0,405000,12
1992000,0,0,600000,0
1993500,0,0,300000,12
1995000,0,1,1500000,12
1995500,0,1,750000,0
1996500,0,1,1674000,36
2001500,1,0,1350000,36
2003000,0,0,969000,36
2004000,0,0,300000,0
2007000,1,0,600000,12
2008500,0,0,900000,12
2009500,0,1,622500,12
2010500,0,0,616500,96
2012000,0,0,1357500,84
2012500,1,1,1500000,12
2014000,0,0,270000,12
2015000,0,0,450000,0
2015500,0,0,390000,12
2016000,0,0,450000,0
2019500,0,0,345000,24
2020000,0,0,2508000,0
2021000,0,0,900000,120
2024000,0,0,420000,12
2024500,0,0,1158000,108
2029500,0,0,1050000,0
2031000,0,0,1800000,84
2031500,0,0,510000,0
2033500,0,0,330000,12
2035000,1,0,417000,12
2037000,0,0,675000,0
2037500,0,0,511500,0
2038000,0,1,900000,60
2039500,0,0,750000,0
2040500,0,0,357000,0
2041500,0,0,270000,84
2042000,0,0,376500,12
2049000,1,0,675000,12
2049500,0,0,460500,12
2053000,0,0,295500,36
2056000,0,0,2550000,0
2058000,0,1,1326000,24
2061500,0,0,427500,12
2062000,1,0,583500,12
2062500,0,0,690000,36
2065500,0,0,316500,12
2067500,0,0,330000,12
2068000,0,0,270000,12
2068500,1,0,480000,0
2070500,0,0,504000,24
2072000,0,0,384000,12
2074000,0,0,1500000,0
2075500,0,0,2250000,84
2076000,1,0,825000,72
2076500,0,0,270000,12
2077500,0,0,1102500,0
2078000,0,0,1200000,24
2079000,0,0,450000,24
2080000,1,0,480000,60
2080500,0,0,855000,12
2082000,0,1,1144500,12
2084000,0,0,450000,12
2084500,0,0,433500,0
2085500,0,0,927000,0
2086500,0,0,1599000,12
2087500,1,1,2100000,36
2089000,0,0,405000,12
2091500,0,0,606000,12
2094500,0,0,337500,12
2095500,0,0,750000,60
2098500,0,0,1425000,0
2099000,0,0,450000,0
2101000,0,1,652500,24
2102000,0,0,1500000,60
2103500,1,0,405000,0
2105000,0,1,1350000,96
2106000,0,0,990000,12
2109000,0,0,900000,120
2114000,0,1,579000,72
2115000,0,0,1227000,192
2116500,0,0,570000,24
2118000,0,0,600000,12
2120500,0,0,270000,0
2121500,1,0,600000,12
2122500,1,0,963000,48
2125500,1,1,1350000,12
2128000,1,0,1500000,24
2129000,0,0,1050000,156
2130500,1,1,712500,156
2135000,0,0,315000,0
2139000,0,0,714000,12
2141500,0,0,468000,48
2143000,0,0,345000,36
2143500,1,0,408000,0
2147500,0,0,525000,36
2148000,0,0,610500,12
2149000,0,0,1387500,0
2150000,0,0,834000,72
2150500,0,0,750000,36
2152000,0,0,457500,84
2153500,1,0,603000,12
2155500,0,1,1683000,180
2156000,0,0,1069500,12
2157500,0,0,646500,120
2161000,1,0,2250000,72
2161500,0,0,405000,12
2163500,1,0,300000,12
2166500,0,0,565500,24
2167000,0,0,480000,0
2167500,0,0,555000,24
2168000,0,1,2250000,144
2168500,0,0,420000,0
2170500,0,0,2250000,12
2171500,0,0,750000,0
2173000,0,0,360000,48
2173500,0,0,435000,12
2174000,0,0,399000,36
2174500,0,0,525000,12
2175000,0,0,270000,24
2176000,0,0,1321500,120
2176500,0,0,585000,48
2178000,0,0,270000,12
2178500,0,0,330000,12
2179000,0,0,420000,12
2180500,1,0,420000,72
2182000,0,0,429000,204
2183500,1,0,307500,12
2184000,0,0,625500,0
2185500,0,0,600000,180
2186000,0,0,270000,24
2187000,0,1,1426500,24
2189500,0,0,285000,12
2190000,0,0,1350000,24
2197000,0,0,763500,12
2200500,1,0,463500,0
2201500,0,0,1800000,96
2203500,1,0,1467000,120
2205500,0,1,2107500,84
2208500,0,0,900000,24
2212500,0,0,750000,0
2221000,1,1,600000,0
2222000,0,0,900000,0
2224500,0,0,358500,120
2227500,0,0,991500,60
2228500,0,0,435000,12
2229000,0,0,1083000,0
2229500,0,0,450000,0
2232500,0,0,313500,12
2233500,0,0,330000,12
2234000,1,0,510000,120
2236000,0,1,1050000,0
2237500,0,1,1378500,72
2238000,0,0,1200000,96
2240000,0,0,630000,36
2240500,0,1,900000,60
2244000,0,1,1500000,12
2245000,0,1,667500,0
2245500,0,0,330000,12
2246000,1,1,1800000,12
2249500,0,0,630000,12
2250000,1,1,2296500,0
2252500,1,0,478500,84
2255000,0,1,900000,0
2256000,0,0,600000,0
2257500,0,0,525000,12
2258500,0,1,1548000,0
2262500,0,0,600000,180
2266000,1,0,525000,0
2267000,0,0,870000,120
2267500,0,0,1500000,132
2271000,0,0,450000,12
2271500,0,0,750000,60
2272000,0,1,1260000,72
2273500,0,0,300000,12
2275500,0,0,412500,12
2276000,0,0,375000,48
2276500,0,0,420000,12
2279500,0,0,286500,12
2280000,0,0,525000,36
2281500,0,0,406500,0
2282500,0,0,306000,84
2284000,0,0,750000,12
2286500,0,0,2211000,0
2292500,0,0,300000,72
2295000,0,0,555000,12
2295500,1,0,600000,12
2296500,0,1,1050000,24
2299000,1,0,651000,12
2300500,0,1,1275000,36
2305000,0,0,390000,24
2306000,0,0,450000,24
2306500,0,0,474000,12
2308000,1,0,1006500,12
2309000,0,0,975000,36
2309500,0,0,450000,0
2310000,0,0,678000,24
2310500,0,0,750000,132
2312000,1,0,1200000,24
2313500,0,0,397500,144
2314500,0,0,1500000,120
2317000,0,0,450000,12
2317500,0,0,342000,0
2319000,0,0,603000,72
2319500,0,1,1080000,120
2320000,0,0,1380000,12
2322500,1,0,301500,24
2324000,1,1,1200000,0
2325000,0,0,1083000,12
2326000,0,0,450000,24
2326500,0,0,625500,60
2328000,0,0,300000,0
2328500,0,0,480000,24
2329000,0,1,1350000,24
2332500,0,1,1401000,0
2336500,1,0,525000,24
2337500,1,0,481500,24
2341500,0,0,420000,0
2342500,0,0,697500,12
2343000,0,0,750000,48
2344000,0,0,384000,60
2344500,0,0,1477500,24
2346500,0,0,450000,24
2347000,0,0,526500,0
2349500,0,1,1200000,12
2350500,0,0,898500,12
2353500,0,0,1288500,72
2355000,0,1,1077000,24
2356500,0,0,465000,0
2358000,0,0,1350000,72
2359000,0,0,1134000,96
2360500,0,0,334500,24
2361000,0,1,1426500,36
2361500,0,0,891000,48
2364000,0,0,1075500,12
2365500,0,0,600000,72
2367000,0,0,1500000,60
2367500,0,0,450000,72
2373000,0,0,1500000,0
2373500,1,0,432000,0
2374500,0,0,631500,0
2378500,0,0,375000,36
2379000,0,0,450000,12
2379500,1,0,1074000,12
2381000,0,0,1500000,24
2381500,0,2,1663500,120
2383000,1,0,633000,12
2383500,0,1,1231500,60
2384000,0,1,1320000,48
2384500,0,0,274500,24
2385500,0,0,301500,0
2387000,1,0,363000,0
2387500,0,0,1875000,0
2389000,0,0,1431000,12
2389500,1,0,600000,24
2391000,1,0,330000,84
2393000,0,1,394500,12
2394000,0,0,600000,120
2396000,1,0,360000,12
2397000,0,0,750000,0
2397500,0,0,2524500,24
2400500,0,1,1947000,12
2401000,1,0,360000,12
2401500,0,0,270000,0
2402500,0,0,570000,12
2405000,0,0,1500000,60
2408500,0,0,675000,12
2409000,0,0,990000,96
2411500,0,0,450000,0
2413500,1,0,624000,0
2416000,0,0,270000,12
2420500,0,1,1677000,12
2424000,1,0,300000,12
2425500,0,0,1200000,24
2427000,0,0,375000,120
2427500,0,0,675000,0
2429000,1,0,450000,48
2430500,1,0,270000,0
2432000,0,0,930000,0
2433500,0,0,1650000,96
2436000,0,0,2062500,84
2439500,0,0,330000,12
2440000,0,0,450000,12
2442500,0,0,525000,48
2443000,1,0,520500,0
2443500,0,0,558000,0
2446500,0,0,900000,0
2449500,0,0,784500,12
2450500,0,0,600000,0
2451500,0,0,450000,48
2454500,0,0,348000,0
2457000,0,1,1050000,0
2458500,0,0,450000,0
2460000,0,0,375000,24
2460500,0,0,420000,60
2467000,0,0,1062000,12
2467500,1,0,508500,144
2468000,0,0,750000,12
2469000,0,0,540000,36
2470000,0,1,1203000,12
2475000,0,0,756000,0
2475500,0,0,375000,12
2476000,0,0,1380000,24
2478000,0,0,600000,24
2480500,0,0,496500,48
2481000,0,0,1272000,120
2481500,1,0,453000,0
2483000,1,0,450000,96
2486500,0,0,324000,12
2487000,0,0,337500,0
2488500,1,0,676500,12
2491000,0,0,508500,36
2491500,0,0,1950000,36
2492500,0,0,360000,12
2494000,0,0,330000,12
2496500,0,0,414000,12
2498500,0,0,345000,48
2499000,0,0,1650000,48
2501000,1,1,553500,60
2502500,0,0,949500,12
2505500,0,0,390000,12
2506000,1,0,1732500,0
2507500,0,0,525000,24
2508000,0,0,525000,12
2508500,0,0,600000,12
2509500,0,2,1123500,48
2510000,1,0,307500,12
2511500,0,0,1054500,84
2513000,0,0,295500,24
2516000,0,0,612000,12
2518000,0,1,1168500,60
2520000,0,0,525000,36
2521000,0,0,450000,36
2521500,0,0,900000,0
2522000,1,0,538500,12
2524000,0,0,889500,168
2525000,0,0,570000,0
2531000,1,1,1275000,48
2534000,0,0,270000,24
2534500,0,0,375000,12
2537000,0,0,1650000,12
2538000,0,0,688500,36
2547500,1,0,450000,36
2548000,0,0,724500,108
2549000,0,0,405000,0
2549500,0,0,420000,0
2550000,0,0,1003500,12
2552500,0,0,750000,48
2553000,0,0,1089000,24
2554000,0,1,1045500,36
2555000,0,0,360000,12
2556000,0,0,1500000,204
2556500,0,0,540000,12
2559000,0,0,1053000,12
2559500,0,0,750000,108
2564000,0,0,691500,24
2564500,0,0,345000,0
2565500,0,1,667500,48
2566000,0,0,328500,24
2567000,0,0,450000,48
2568000,1,0,900000,0
2568500,0,0,375000,0
2574500,1,0,825000,12
2575000,1,0,570000,12
2575500,1,0,900000,72
2576000,0,0,1200000,84
2576500,0,0,420000,12
2577000,0,0,540000,48
2577500,0,0,397500,72
2578500,0,0,459000,12
2579000,0,0,405000,60
2580000,0,0,438000,12
2586500,0,0,556500,12
2587000,0,0,390000,12
2589500,0,0,315000,12
2590000,1,0,354000,60
2591000,0,0,600000,84
2594000,0,0,336000,12
2595000,1,0,360000,12
2595500,0,0,1200000,108
2596000,0,0,375000,0
2601000,0,0,270000,0
2603500,1,0,388500,0
2606500,0,0,450000,48
2610000,0,0,450000,0
2610500,1,0,345000,36
2611500,0,0,2250000,48
2617000,1,0,495000,0
2617500,1,0,420000,12
2618000,1,0,1120500,0
2618500,0,0,301500,0
2622000,1,0,1170000,108
2623500,0,0,450000,60
2627000,0,0,300000,12
2628500,0,1,865500,12
2629000,0,0,270000,24
2630000,0,0,547500,12
2630500,1,2,1147500,36
2631000,0,0,1275000,12
2632000,0,0,384000,36
2633500,0,0,1350000,60
2634000,0,0,1500000,48
2636000,0,0,289500,12
2637000,1,0,1080000,0
